"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name","Pathogen"
"ENSG000002612671",0.0583198503498681,2.60691816417683,5.39671650895009,8.55871219084382e-08,8.85918194424209e-07,7.24019623742642,"ENSG00000261267","HCMV"
"ENSG000001361561",0.0487932880933012,10.1984066417657,5.39606084043938,8.58910251887574e-08,8.88641760606759e-07,7.21513154996273,"ITM2B","HCMV"
"ENSG000002641881",0.0721938427989078,0.778398905282069,5.39381278358574,8.69409682913301e-08,8.98225110526217e-07,7.3512539008468,"ENSG00000264188","HCMV"
"ENSG000001982231",0.0573441864808833,7.18933110588682,5.39333778583852,8.71644008634251e-08,8.99254323112297e-07,7.104233087014,"CSF2RA","HCMV"
"ENSG000001160441",0.0353970847888,7.33163666606504,5.39125696408943,8.81497714289462e-08,9.07272257754043e-07,7.09409441008264,"NFE2L2","HCMV"
"ENSG000001816161",0.0951431511445166,-2.04569874928971,5.38855015481585,8.9447754492589e-08,9.1846235751132e-07,7.48755575335942,"OR52H1","HCMV"
"ENSG000002885381",0.0523020628486214,1.72739283657113,5.38806345059572,8.96830989468422e-08,9.20445145055462e-07,7.26723757344247,"ENSG00000288538","HCMV"
"ENSG000001294671",0.0567152734652418,4.00541421541759,5.38784484932376,8.97889982778294e-08,9.20787208746433e-07,7.09113482982125,"ADCY4","HCMV"
"ENSG000001383861",0.0387330552459073,5.04991414163844,5.38714369971652,9.01294824317708e-08,9.23721210115641e-07,7.05056229031699,"NAB1","HCMV"
"ENSG000001852781",0.0328801477002048,6.58015309085803,5.38698542806666,9.0206513501539e-08,9.24076033232268e-07,7.05333589926314,"ZBTB37","HCMV"
"ENSG000002664051",0.0659172531511126,1.61081931086797,5.3852352225289,9.10626089955163e-08,9.30221841257996e-07,7.26262750196329,"CBX3P2","HCMV"
"ENSG000002130031",0.0495407814088656,1.89966049067025,5.38482068484633,9.1266526960274e-08,9.31868020589227e-07,7.23641664785512,"BTF3P12","HCMV"
"ENSG000002635841",0.101863116012205,-0.0341080670942232,5.38467346438877,9.13412412968102e-08,9.3219405462117e-07,7.34606757569605,"MIR4480","HCMV"
"ENSG000001702961",0.051468701023669,1.0525517002924,5.38437735012569,9.1485100639561e-08,9.33225120709454e-07,7.29848771966307,"GABARAP","HCMV"
"ENSG000002423141",0.100610171418167,0.659362956071318,5.38420731412554,9.15712591367067e-08,9.33666900013899e-07,7.3055689334054,"RPL12P32","HCMV"
"ENSG000001828731",0.058537972021636,1.06375848100914,5.3831440945144,9.20957957224091e-08,9.38137116874975e-07,7.28718536094707,"PRKCZ-AS1","HCMV"
"ENSG000002803871",0.0613194814416583,1.17508498934337,5.38291733887363,9.22085121027881e-08,9.388463879475e-07,7.27737649137783,"ENSG00000280387","HCMV"
"ENSG000002256951",0.0678323079288009,2.57346299430208,5.38233538657788,9.24984032254151e-08,9.4135810736972e-07,7.15979380007677,"HNRNPA1P35","HCMV"
"ENSG000002489711",0.0405852777467065,3.24556064923841,5.38209154702801,9.26201309035782e-08,9.41717233904837e-07,7.11950148736001,"KRT8P46","HCMV"
"ENSG000002672991",0.0977509663583263,-0.385526413186015,5.38197975896173,9.2676397545224e-08,9.41849825612354e-07,7.35292002501765,"ENSG00000267299","HCMV"
"ENSG000002507341",0.068283949923781,0.13162497027721,5.380455934561,9.34406731806769e-08,9.48290092190857e-07,7.32057849580982,"ENSG00000250734","HCMV"
"ENSG000002912371",0.0613412189460185,11.3398528205591,5.37987732151931,9.37326318944571e-08,9.49925728534105e-07,7.17452645545357,"SOD2","HCMV"
"ENSG000002328241",0.0590574555620322,0.703591376946188,5.37578207618595,9.58244580675736e-08,9.68422595934305e-07,7.27011818986926,"PRR13P1","HCMV"
"ENSG000002187491",0.117143083745399,1.86543076391724,5.37466947799841,9.64028332170453e-08,9.73364843821223e-07,7.1508533757273,"RPL36P9","HCMV"
"ENSG000002210421",0.071018716311643,-1.73128656239995,5.36993897321238,9.88876188435162e-08,9.94844688987629e-07,7.38151383999224,"ENSG00000221042","HCMV"
"ENSG000002236601",0.073279676324066,-0.176896014977048,5.3697837439795,9.89702763322434e-08,9.94844688987629e-07,7.28967030309768,"ENSG00000223660","HCMV"
"ENSG000001631621",0.053478437961025,9.18349895154129,5.36968502774953,9.90228762422102e-08,9.94844688987629e-07,7.04471283567812,"RNF149","HCMV"
"ENSG000001350831",0.0920451140172028,6.37007065118325,5.36967146211291,9.90324535506066e-08,9.94844688987629e-07,6.96436385964569,"CCNJL","HCMV"
"ENSG000002241571",0.0746173246031791,-0.16549914783737,5.36942139281729,9.91634842322357e-08,9.95701916099624e-07,7.28580899262448,"HCG14","HCMV"
"ENSG000002074441",0.0805694685068871,-0.239898413097248,5.36593627717063,1.01040538801291e-07,1.01191261097213e-06,7.26890004465197,"SNORD56B","HCMV"
"ENSG000002310641",0.0626994434003865,-0.31599536450492,5.36582134684037,1.01103022354689e-07,1.01191261097213e-06,7.27342803783693,"THBS3-AS1","HCMV"
"ENSG000002573601",0.0834173430397776,-1.52502859265405,5.36588430623666,1.01068788920816e-07,1.01191261097213e-06,7.34901847541026,"ENSG00000257360","HCMV"
"ENSG000002016161",0.0627475521106572,-0.535391704321425,5.36325902768382,1.02505831579673e-07,1.02454108453647e-06,7.27306504195445,"RNU1-91P","HCMV"
"ENSG000001817511",0.118990302243367,4.33069347401908,5.36253285153543,1.02911720294173e-07,1.02812630604756e-06,6.93987038301754,"MACIR","HCMV"
"ENSG000000888331",0.040682484766174,6.4983644890945,5.35956991266396,1.04558723541057e-07,1.04123858648815e-06,6.90948117071752,"NSFL1C","HCMV"
"ENSG000001692311",0.0506920631412193,3.35280575692002,5.35978836652594,1.04436057742389e-07,1.04123858648815e-06,6.99130345586915,"THBS3","HCMV"
"ENSG000002723821",0.0660405654092562,-1.20341723132528,5.35846117263252,1.05183457580394e-07,1.04602572214478e-06,7.28518176076104,"ENSG00000272382","HCMV"
"ENSG000001391901",0.0398593401949249,4.52754414725624,5.3578694528552,1.05518349101152e-07,1.04839913751254e-06,6.91180870178676,"VAMP1","HCMV"
"ENSG000002498501",0.0425985679973293,3.43853993356484,5.35659542500118,1.06242913894156e-07,1.05511706966261e-06,6.96982987129005,"KRT18P31","HCMV"
"ENSG000001214541",0.0899514182323051,2.84819323820207,5.3560746182833,1.06542994330018e-07,1.05761517241766e-06,6.99431354128003,"LHX4","HCMV"
"ENSG000001240911",0.0591020783146115,3.10684232515927,5.3556528361473,1.06782084459712e-07,1.05902359503535e-06,6.98793931604077,"GCNT7","HCMV"
"ENSG000001571061",0.0229061570350702,8.65309350751611,5.3552294001337,1.07025156720516e-07,1.05950528840678e-06,6.94894863921069,"SMG1","HCMV"
"ENSG000002497131",0.067757207558167,1.09212407410312,5.35481205169067,1.07265259219943e-07,1.06043681177103e-06,7.13293184958308,"ENSG00000249713","HCMV"
"ENSG000002365671",0.061920815145735,2.76406802017324,5.3546057807304,1.07384120580703e-07,1.06113043235053e-06,7.00065945681023,"TCF3P1","HCMV"
"ENSG000002857301",0.0579807322153549,1.77705484083338,5.35430801489574,1.0755593005401e-07,1.06234640070119e-06,7.08664117821641,"ENSG00000285730","HCMV"
"ENSG000001173351",0.0444225764508419,8.5426906104811,5.35419350709755,1.07622071420008e-07,1.06251803995041e-06,6.94027161698754,"CD46","HCMV"
"ENSG000002793541",0.102385388092724,-1.3235345697162,5.35270986257332,1.0848261888073e-07,1.07004426563704e-06,7.25257268228607,"ENSG00000279354","HCMV"
"ENSG000001870911",0.0449172811561779,3.0306389820937,5.3522303102366,1.08762193679646e-07,1.07231648782163e-06,6.98080466507892,"PLCD1","HCMV"
"ENSG000002675191",0.0764459392134546,6.51657557253094,5.35145674380977,1.09217203706884e-07,1.07631553666635e-06,6.87143809929597,"MIR23AHG","HCMV"
"ENSG000001343261",0.13709687385494,5.23133496450199,5.34921917617976,1.10542274906135e-07,1.08838934836411e-06,6.85412752286783,"CMPK2","HCMV"
"ENSG000002730621",0.0670559830944149,0.422409913826566,5.34765141754559,1.11467057622873e-07,1.09699896953242e-06,7.14173392317681,"RALGPS2-AS1","HCMV"
"ENSG000000322191",0.0303413845610819,6.73710978557908,5.3474461213235,1.11589845948775e-07,1.09771158166043e-06,6.85063112334108,"ARID4A","HCMV"
"ENSG000002744251",0.0761616113969461,-0.516955760315836,5.34682462871252,1.11962362364673e-07,1.10046725132769e-06,7.18840361363286,"ENSG00000274425","HCMV"
"ENSG000001567111",0.0559185560653901,6.72097406575397,5.34672615769532,1.12021495407995e-07,1.10046725132769e-06,6.84870546250823,"MAPK13","HCMV"
"ENSG000002543251",0.0634155976599114,4.2766697406053,5.34609286380575,1.12403066786077e-07,1.1030743979822e-06,6.86007852012993,"ENSG00000254325","HCMV"
"ENSG000001230661",0.0315976810592384,9.17655110330068,5.34572881620211,1.12622119537023e-07,1.10437595076156e-06,6.91811979111889,"MED13L","HCMV"
"ENSG000001405451",0.112368466849958,2.82317145830176,5.34265903765329,1.14493132850882e-07,1.12020245697704e-06,6.92232785374372,"MFGE8","HCMV"
