"Barcode","name","nt_rpm","Bacteriodes","Citrobacter","Escherichia","Enterobacter","Klebsiella","Haemophilus","Lactobacillus","Morganella","Prevotella","Proteus","Pseudomonas","Serratia","Staphylococcus","Streptococcus","Anelloviridae","HepatitisB","HSV1","HSV2","VZV","HHV4","HHV5","HHV6","HHV8","Bocavirus","Polyomavirus"
"EARLI_11180","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.532303936,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11182","",0,0,0,129.0735109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159695034,0,0,0,0.319390067,0,0,0,0.199618792
"EARLI_11203","",0,0,0,0,0,0,0,0,0,0,0,44.80347885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11282","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11290","",0,0,0,0,0,0,0,0,0,0,0,0,0,1.117865371,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11299","",0,0,0,14.4084999,0,0,0,0,0,0,0,0,0,0,0,0.332078103,0,0,0,0,0,0,0,0,0,0
"EARLI_11309","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259974389,0,0,0,0,0,0,0,0
"EARLI_11317","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6251.262125,0,0,0,0,0,0,0,0,0
"EARLI_11321","",0,0,0,63.86166209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11329","",0,1.912515492,0,0,0,1.156404716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11403","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.5114463,0,0,0,0,0,0.14045399,0,0,0,0,0
"EARLI_11412","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
